"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Swarm of Cranium Rats","MPMM","83","Medium","swarm of Tiny Aberrations","lawful evil","12","76 (17d8)","30 ft.","9","14","10","15","11","14","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","Darkvision 30 ft., passive Perception 10","Telepathy 30 ft.","5 (XP 1,800; PB +3)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain hit points or gain temporary hit points.
Telepathic Shroud. The swarm is immune to any effect that would sense its emotions or read its thoughts, as well as to all divination spells.","Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one target in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer, plus 22 (5d8) psychic damage.
Spellcasting (Psionics). As long as it has more than half of its hit points remaining, the swarm casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 13):At will: command, comprehend languages, detect thoughts1/day each: confusion, dominate monster","Illumination. The swarm sheds dim light from its brains in a 5-foot radius, increases the illumination to bright light in a 5- to 20-foot radius (and dim light for an additional number of feet equal to the chosen radius), or extinguishes the light.","","","","","","Underdark, Urban",""
"Swarm of Crawling Claws","MM'25","83","Medium","swarm of Tiny Undead","neutral evil","12","49 (11d8)","30 ft., Climb 30 ft.","14","14","11","5","10","4","","","","bludgeoning, piercing, slashing","necrotic, poison","charmed, exhaustion, frightened, grappled, incapacitated, paralyzed, petrified, poisoned, prone, restrained, stunned","Blindsight 30 ft., passive Perception 10","Understands Common but can't speak","3 (XP 700; PB +2)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny creature. The swarm can't regain Hit Points or gain Temporary Hit Points.","Swarm of Grasping Hands. Melee Attack Roll: +4, reach 5 ft. Hit: 20 (4d8 + 2) Necrotic damage, or 11 (2d8 + 2) Necrotic damage if the swarm is Bloodied. If the target is a Medium or smaller creature, it has the Prone condition.","","","","","","","Any",""
"Swarm of Dretches","MM'25","104","Large","swarm of Small Fiends (Demon)","chaotic evil","12","45 (6d10 + 12)","40 ft.","14","11","14","5","8","3","","","","bludgeoning, cold, fire, lightning, piercing, slashing","poison","charmed, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned","Darkvision 60 ft., passive Perception 9","Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal)","4 (XP 1,100; PB +2)","Fetid Aura. Constitution Saving Throw: DC 12, any creature that starts its turn in a 10-foot Emanation originating from the swarm. Failure: The target has the Poisoned condition until the start of its next turn. While Poisoned, the target can take either an action or a Bonus Action on its turn, not both, and it can't take Reactions.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Small creature. The swarm can't regain Hit Points or gain Temporary Hit Points.","Multiattack. The swarm makes two Rend attacks.
Rend. Melee Attack Roll: +4, reach 5 ft. Hit: 12 (3d6 + 2) Slashing damage, or 9 (3d4 + 2) Slashing damage if the swarm is Bloodied.","","","","","","","Planar (Abyss)",""
"Swarm of Hoard Scarabs","FTD","205","Medium","swarm of Tiny Monstrosities","unaligned","14 (natural armor)","31 (7d8)","20 ft., Burrow 20 ft., Fly 20 ft.","6","16","11","3","8","6","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","Darkvision 60 ft., Tremorsense 60 ft., passive Perception 9","—","2 (XP 450; PB +2)","False Appearance. If the swarm is motionless at the start of combat, it has advantage on its initiative roll. Moreover, if a creature hasn't observed the swarm move or act, that creature must succeed on a DC 18 Intelligence (Investigation) check to discern that the swarm is animate.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny scarab. The swarm can't regain hit points or gain temporary hit points.","Swarm of Bites. Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 13 (3d6 + 3) piercing damage, or 6 (1d6 + 3) piercing damage if the swarm is at half of its hit points or fewer, and the target has disadvantage on attack rolls until the start of its next turn.","Scale Dust (1/Day). The swarm releases magical glittering dust from its wings. Each creature within 10 feet of the swarm must succeed on a DC 13 Dexterity saving throw or be outlined in blue light for 10 minutes. While outlined in this way, a creature sheds dim light in a 10-foot radius and can't benefit from being invisible. In addition, every Dragon within 1 mile of the creature becomes aware of it and can unerringly track the creature. Casting dispel magic on the creature ends the effect on it.","","","","","","",""
"Swarm of Insects","MM'25","370","Medium","swarm of Tiny Beasts","unaligned","11","19 (3d8 + 6)","20 ft.; Climb or Fly 20 ft. (DM's choice)","3","13","14","1","7","1","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","Blindsight 30 ft., passive Perception 8","—","1/2 (XP 100; PB +2)","Spider Climb. If the swarm has a Climb Speed, the swarm can climb difficult surfaces, including along ceilings, without needing to make an ability check.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain Hit Points or gain Temporary Hit Points.","Bites. Melee Attack Roll: +3, reach 5 ft. Hit: 6 (2d4 + 1) Poison damage, or 3 (1d4 + 1) Poison damage if the swarm is Bloodied.","","","","","","","Desert, Forest, Grassland, Hill, Swamp, Underdark, Urban",""
"Swarm of Larvae","MM'25","193","Large","swarm of Medium Fiends","neutral evil","13","22 (3d10 + 6)","30 ft.","14","11","14","6","12","2","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","Darkvision 60 ft., passive Perception 11","Understands all but can't speak","1 (XP 200; PB +2)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through an opening large enough for a Medium creature. The swarm can't regain Hit Points or gain Temporary Hit Points.","Bites. Melee Attack Roll: +4, reach 5 ft. Hit: 9 (2d6 + 2) Necrotic damage, or 7 (2d4 + 2) Necrotic damage if the swarm is Bloodied.","","","","","","","Planar (Lower Planes)",""
"Swarm of Lemures","MM'25","194","Large","swarm of Medium Fiends (Devil)","lawful evil","12","45 (6d10 + 12)","40 ft.","14","7","14","1","12","3","","","","bludgeoning, cold, piercing, slashing","fire, poison","charmed, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned","Darkvision 120 ft. (unimpeded by magical Darkness), passive Perception 11","Understands Infernal but can't speak","3 (XP 700; PB +2)","Hellish Restoration. If the swarm dies in the Nine Hells, it revives with all its Hit Points in 1d10 days unless it is killed by a creature under the effects of a Bless spell or its remains are sprinkled with Holy Water.
Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through an opening large enough for a Medium creature. The swarm can't regain Hit Points or gain Temporary Hit Points.","Multiattack. The swarm makes two Vile Slime attacks.
Vile Slime. Melee Attack Roll: +4, reach 5 ft. Hit: 11 (2d8 + 2) Poison damage, or 9 (2d6 + 2) Poison damage if the swarm is Bloodied.","","","","","","","Planar (Nine Hells)",""
"Swarm of Piranhas","MM'25","370","Medium","swarm of Tiny Beasts","unaligned","13","28 (8d8 - 8)","5 ft., Swim 40 ft.","13","16","9","1","7","2","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","Darkvision 60 ft., passive Perception 8","—","1 (XP 200; PB +2)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny piranha. The swarm can't regain Hit Points or gain Temporary Hit Points.
Water Breathing. The swarm can breathe only underwater.","Bites. Melee Attack Roll: +5 (with Advantage if the target doesn't have all its Hit Points), reach 5 ft. Hit: 8 (2d4 + 3) Piercing damage, or 5 (1d4 + 3) Piercing damage if the swarm is Bloodied.","","","","","","","Underwater",""
"Swarm of Rats","MM'25","370","Medium","swarm of Tiny Beasts","unaligned","10","14 (4d8 - 4)","30 ft., Climb 30 ft.","9","11","9","2","10","3","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","Darkvision 30 ft., passive Perception 10","—","1/4 (XP 50; PB +2)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain Hit Points or gain Temporary Hit Points.","Bites. Melee Attack Roll: +2, reach 5 ft. Hit: 5 (2d4) Piercing damage, or 2 (1d4) Piercing damage if the swarm is Bloodied.","","","","","","","Forest, Swamp, Underdark, Urban",""
"Swarm of Ravens","MM'25","371","Medium","swarm of Tiny Beasts","unaligned","12","11 (2d8 + 2)","10 ft., Fly 50 ft.","6","14","12","5","12","6","","Perception +5","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","passive Perception 15","—","1/4 (XP 50; PB +2)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can't regain Hit Points or gain Temporary Hit Points.","Beaks. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage, or 2 (1d4) Piercing damage if the swarm is Bloodied.
Cacophony (Recharge 6). Wisdom Saving Throw: DC 10, one creature in the swarm's space. Failure: The target has the Deafened condition until the start of the swarm's next turn. While Deafened, the target also has Disadvantage on ability checks and attack rolls.","","","","","","","Hill, Swamp, Urban",""
"Swarm of Rot Grubs","MPMM","237","Medium","swarm of Tiny Beasts","unaligned","8","22 (5d8)","5 ft., Climb 5 ft.","2","7","10","1","2","1","","","fire","piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained","Blindsight 10 ft., passive Perception 6","—","1/2 (XP 100; PB +2)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny maggot. The swarm can't regain hit points or gain temporary hit points.","Bites. Melee Weapon Attack: +0 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, and the target must succeed on a DC 10 Constitution saving throw or be poisoned. At the end of each of the poisoned target's turns, the target takes 3 (1d6) poison damage. Whenever the poisoned target takes fire damage, the target can repeat the saving throw, ending the effect on itself on a success. If the poisoned target ends its turn with 0 hit points, it dies.","","","","","","","Swamp, Underdark",""
